"item_name","wb_item_code","imf_item_code","import_name_wb","import_name_wb_index"
"Plywood","PLYWOOD",NA,"Plywood",NA
"Hardwood Index",NA,"PHARD",NA,NA
"Softwood Index",NA,"PSOFT",NA,NA
"Hard Sawnwood",NA,"PSAWMAL",NA,NA
"Hard logs",NA,"PLOGSK",NA,NA
"Soft Sawnwood",NA,"PSAWORE",NA,NA
"Soft logs",NA,"PLOGORE",NA,NA
"Tobacco","TOBAC_US",NA,"Tobacco, US import u.v.",NA
"Metals and Minerals","iMETMIN","PALLMETA",NA,"Metals  & Minerals"
"Precious Metals","iPRECIOUSMET","PPMETA",NA,"Precious Metals"
"Base Metals","iBASEMET","PMETA",NA,"Base Metals (ex. iron ore)"
"Iron Ore","IRON_ORE","PIORECR","Iron ore, cfr spot",NA
"Aluminum","ALUMINUM","PALUM","Aluminum",NA
"Cobalt",NA,"PCOBA",NA,NA
"Copper","COPPER","PCOPP","Copper",NA
"Lead","LEAD","PLEAD","Lead",NA
"Molybdenum",NA,"PLMMODY",NA,NA
"Nickel","NICKEL","PNICK","Nickel",NA
"Tin","Tin","PTIN","Tin",NA
"Uranium",NA,"PURAN",NA,NA
"Zinc","Zinc","PZINC","Zinc",NA
"Natural Phosphate Rock","PHOSROCK",NA,"Phosphate rock",NA
"Phosphate","DAP","PDAP","DAP",NA
"Potassium","POTASH","PPOTASH","Potassium chloride **",NA
"Nitogenous","UREA_EE_BULK","PUREA","Urea",NA
"TSP (triple superphosphate)","TSP",NA,"TSP",NA
"Gold","GOLD","PGOLD","Gold",NA
"Silver","SILVER","PSILVER","Silver",NA
"Platinum","PLATINUM","PPLAT","Platinum",NA
"Palladium",NA,"PPALLA",NA,NA
