"parent_code","parent_total_weight","item_code","item_weight","weight_within_parent_index"
NA,NA,"iTotal",NA,NA
"iTotal",100,"iENERGY",67,0.67
"iTotal",100,"iNONFUEL",33,0.33
"iENERGY",67,"INFERRED_COAL",3.12047043941681,0.0465741856629374
"iENERGY",67,"CRUDE_PETRO",56.662456019903,0.845708298804522
"iENERGY",67,"iNATGAS",7.21707354068025,0.107717515532541
"INFERRED_COAL",3.12047043941681,"COAL_AUS",1.5602352197084,0.5
"INFERRED_COAL",3.12047043941681,"COAL_SAFRICA",1.5602352197084,0.5
"CRUDE_PETRO",56.662456019903,"CRUDE_BRENT",18.8874853399677,0.333333333333333
"CRUDE_PETRO",56.662456019903,"CRUDE_DUBAI",18.8874853399677,0.333333333333333
"CRUDE_PETRO",56.662456019903,"CRUDE_WTI",18.8874853399677,0.333333333333333
"iNATGAS",7.21707354068025,"NGAS_US",2.40569118022675,0.333333333333333
"iNATGAS",7.21707354068025,"NGAS_EUR",2.40569118022675,0.333333333333333
"iNATGAS",7.21707354068025,"NGAS_JP",2.40569118022675,0.333333333333333
"iNONFUEL",33,"iAGRICULTURE",21.4026321129035,0.648564609481925
"iNONFUEL",33,"iFERTILIZERS",1.18380321725977,0.0358728247654476
"iAGRICULTURE",21.4026321129035,"iFOOD",40.030537993261,0.132100775377761
"iAGRICULTURE",21.4026321129035,"iBEVERAGES",8.36836817191359,0.39099715062001
"iAGRICULTURE",21.4026321129035,"iRAW_MATERIAL",16.4575547830178,0.768950038303732
"iFOOD",0.40030537993261,"iGRAINS",11.2829984049176,28.1859774325717
"iFOOD",0.40030537993261,"iFATS_OILS",16.3327849735556,40.8008130600323
"iFOOD",0.40030537993261,"iOTHERFOOD",12.4147546147878,31.0132095073961
"iGRAINS",0.112829984049176,"INFERRED_RICE",3.39186355939706,30.0617215182691
"iGRAINS",0.112829984049176,"INFERRED_WHEAT",2.83818653426422,25.1545416600186
"iGRAINS",0.112829984049176,"INFERRED_MAIZE",4.58933216001241,40.6747567917071
"iGRAINS",0.112829984049176,"BARLEY",0.463616151243873,4.10898003000524
"INFERRED_RICE",0.0339186355939706,"RICE_05",0.847965889849266,25
"INFERRED_RICE",0.0339186355939706,"RICE_25",0.847965889849266,25
"INFERRED_RICE",0.0339186355939706,"RICE_A1",0.847965889849266,25
"INFERRED_RICE",0.0339186355939706,"RICE_05_VNM",0.847965889849266,25
"INFERRED_WHEAT",0.0283818653426422,"WHEAT_US_SRW",1.41909326713211,50
"INFERRED_WHEAT",0.0283818653426422,"WHEAT_US_HRW",1.41909326713211,50
"INFERRED_MAIZE",0.0458933216001241,"MAIZE",2.29466608000621,50
"INFERRED_MAIZE",0.0458933216001241,"SORGHUM",2.29466608000621,50
"iFATS_OILS",0.163327849735556,"SOYBEANS",4.02417715769596,24.6386465272854
"iFATS_OILS",0.163327849735556,"SOYBEAN_OIL",2.12999894251802,13.0412476865807
"iFATS_OILS",0.163327849735556,"SOYBEAN_MEAL",4.2877891077026,26.2526514286752
"iFATS_OILS",0.163327849735556,"PALM_OIL",4.93250747815166,30.2000392837956
"iFATS_OILS",0.163327849735556,"COCONUT_OIL",0.501405554316663,3.06993299139423
"iFATS_OILS",0.163327849735556,"INFERRED_GNUTS",0.456906733170723,2.79748208226888
"INFERRED_GNUTS",0.00456906733170723,"GRNUT_OIL",0.228453366585361,50
"INFERRED_GNUTS",0.00456906733170723,"GRNUT",0.228453366585361,50
"Unknown/None",NA,"RAPESEED_OIL",NA,NA
"Unknown/None",NA,"SUNFLOWER_OIL",NA,NA
"Unknown/None",NA,"PLMKRNL_OIL",NA,NA
"Unknown/None",NA,"FISH_MEAL",NA,NA
"iOTHERFOOD",0.124147546147878,"INFERRED_SUGAR",3.91137834346699,31.5058852537283
"iOTHERFOOD",0.124147546147878,"INFERRED_BANANAS",1.94531980714529,15.6694181037467
"INFERRED_BANANAS",0.0194531980714529,"BANANA_EU",0.972659903572647,50
"INFERRED_BANANAS",0.0194531980714529,"BANANA_US",0.972659903572647,50
"iOTHERFOOD",0.124147546147878,"ORANGE",1.44184948088551,11.6139990327965
"iOTHERFOOD",0.124147546147878,"BEEF",2.73404728764325,22.0225640576624
"iOTHERFOOD",0.124147546147878,"CHICKEN",2.38215969564678,19.1881335520662
"Unknown/None",NA,"LAMB",NA,NA
"Unknown/None",NA,"SHRIMP_MEX",NA,NA
"INFERRED_SUGAR",0.0391137834346699,"SUGAR_WLD",1.30379278115566,33.3333333333333
"INFERRED_SUGAR",0.0391137834346699,"SUGAR_US",1.30379278115566,33.3333333333333
"INFERRED_SUGAR",0.0391137834346699,"SUGAR_EU",1.30379278115566,33.3333333333333
"iBEVERAGES",0.0836836817191359,"INFERRED_COFFEE",3.82573585478048,45.7166292900525
"iBEVERAGES",0.0836836817191359,"COCOA",3.08638052317911,36.8815097492699
"iBEVERAGES",0.0836836817191359,"TEA_AVG",1.456251793954,17.4018609606776
"INFERRED_COFFEE",0.0382573585478048,"COFFEE_ARABIC",1.91286792739024,50
"INFERRED_COFFEE",0.0382573585478048,"COFFEE_ROBUS",1.91286792739024,50
"TEA_AVG",0.01456251793954,"TEA_KOLKATA",0.485417264651334,33.3333333333333
"TEA_AVG",0.01456251793954,"TEA_MOMBASA",0.485417264651334,33.3333333333333
"TEA_AVG",0.01456251793954,"TEA_COLOMBO",0.485417264651334,33.3333333333333
"iRAW_MATERIAL",0.164575547830178,"iTIMBER",8.59659507570978,52.2349473481954
"iRAW_MATERIAL",0.164575547830178,"iOTHERRAWMAT",7.86095970730806,47.7650526518046
